
                            mean       std    median      5.0%     95.0%     n_eff     r_hat
         det_prob[129]      0.81      0.00      0.81      0.81      0.81      0.50      0.99
         det_prob[130]      0.19      0.00      0.19      0.19      0.19      0.50      0.99
         det_prob[131]      0.83      0.00      0.83      0.83      0.83      0.50      0.99
         det_prob[132]      0.40      0.00      0.40      0.40      0.40      0.50      0.99
         det_prob[133]      0.84      0.00      0.84      0.84      0.84      0.50      0.99
         det_prob[134]      0.18      0.00      0.18      0.18      0.18      0.50      0.99
         det_prob[135]      0.48      0.00      0.48      0.48      0.48      0.50      0.99
         det_prob[136]      0.37      0.00      0.37      0.37      0.37      0.50      0.99
         det_prob[137]      0.49      0.00      0.49      0.49      0.49      0.50      0.99
         det_prob[138]      0.36      0.00      0.36      0.36      0.36      0.50      0.99
         det_prob[139]      0.70      0.00      0.70      0.70      0.70      0.50      0.99
         det_prob[140]      0.76      0.00      0.76      0.76      0.76      0.50      0.99
         det_prob[141]      0.22      0.00      0.22      0.22      0.22      0.50      0.99
         det_prob[142]      0.64      0.00      0.64      0.64      0.64      0.50      0.99
         det_prob[143]      0.19      0.00      0.19      0.19      0.19      0.50      0.99
         det_prob[144]      0.12      0.00      0.12      0.12      0.12      0.50      0.99
         det_prob[145]      0.80      0.00      0.80      0.80      0.80      0.50      0.99
         det_prob[146]      0.22      0.00      0.22      0.22      0.22      0.50      0.99
         det_prob[147]      0.88      0.00      0.88      0.88      0.88      0.50      0.99
         det_prob[148]      0.33      0.00      0.33      0.33      0.33      0.50      0.99
         det_prob[149]      0.81      0.00      0.81      0.81      0.81      0.50      0.99
         det_prob[150]      0.28      0.00      0.28      0.28      0.28      0.50      0.99
             det_prob0      0.33      0.00      0.33      0.33      0.33      0.50      0.99
            det_prob_d      0.13      0.00      0.13      0.13      0.13       nan       nan
                 gamma      0.52      0.00      0.52      0.52      0.52      0.50      0.99
                 rw[0]     -1.23      0.00     -1.23     -1.23     -1.23      0.50      0.99
                 rw[1]      1.84      0.00      1.84      1.84      1.84      0.50      0.99
                 rw[2]      0.14      0.00      0.14      0.14      0.14      0.50      0.99
                 rw[3]      0.72      0.00      0.72      0.72      0.72      0.50       nan
                 rw[4]     -0.88      0.00     -0.88     -0.88     -0.88      0.50      0.99
                 rw[5]     -0.22      0.00     -0.22     -0.22     -0.22      0.50      0.99
                 rw[6]     -1.44      0.00     -1.44     -1.44     -1.44      0.50       nan
                 rw[7]      0.76      0.00      0.76      0.76      0.76      0.50      0.99
                 rw[8]      1.63      0.00      1.63      1.63      1.63      0.50      0.99
                 rw[9]      1.68      0.00      1.68      1.68      1.68      0.50      0.99
                rw[10]     -1.58      0.00     -1.58     -1.58     -1.58      0.50      0.99
                rw[11]     -0.31      0.00     -0.31     -0.31     -0.31      0.50      0.99
                rw[12]     -0.13      0.00     -0.13     -0.13     -0.13       nan       nan
                rw[13]     -0.91      0.00     -0.91     -0.91     -0.91      0.50      0.99
                rw[14]      0.12      0.00      0.12      0.12      0.12      0.50       nan
                rw[15]      0.67      0.00      0.67      0.67      0.67      0.50      0.99
                rw[16]     -0.95      0.00     -0.95     -0.95     -0.95      0.50      0.99
                rw[17]      1.25      0.00      1.25      1.25      1.25      0.50      0.99
                rw[18]     -1.98      0.00     -1.98     -1.98     -1.98      0.50      0.99
                rw[19]     -1.57      0.00     -1.57     -1.57     -1.57      0.50      0.99
                rw[20]      0.10      0.00      0.10      0.10      0.10      0.50       nan
                rw[21]     -0.21      0.00     -0.21     -0.21     -0.21      0.50       nan
                rw[22]      0.48      0.00      0.48      0.48      0.48      0.50      0.99
                rw[23]      1.60      0.00      1.60      1.60      1.60      0.50       nan
                rw[24]      0.46      0.00      0.46      0.46      0.46      0.50      0.99
                rw[25]     -0.51      0.00     -0.51     -0.51     -0.51      0.50       nan
                rw[26]     -0.50      0.00     -0.50     -0.50     -0.50      0.50      0.99
                rw[27]     -0.39      0.00     -0.39     -0.39     -0.39      0.50      0.99
                rw[28]      0.16      0.00      0.16      0.16      0.16      0.50      0.99
                rw[29]     -1.57      0.00     -1.57     -1.57     -1.57      0.50      0.99
